ID,Theme,Year,Key Contribution,Explainability Gap,Data Limitation,Limitations
alwanin2026customs,T2,2026,First dual-task gradient boosting framework for simultaneous fraud cla...,NO (SHAP analysis provided),"YES (synthetic data only, no real customs data)",Uses synthetic dataset due to data access restrictions; generalization...
marra2026automatic,T1,2026,First direct comparison of traditional ML vs LLMs for HS classificatio...,YES (no interpretability analysis of model decisions),NO,LLM evaluation limited to zero/few-shot without fine-tuning; HS hierar...
wu2026rssvm,T4,2026,RS-SVM model for evaluating customs declaration process efficiency wit...,NO (RS provides feature reduction transparency),YES (single company case study),Single company case study; limited evaluation metrics; ESIA optimizati...
bouchtib2026norma,T1,2026,First multi-agent dataset for customs nomenclature classification; SA-...,PARTIAL (agent decomposition improves interpretability but LLM reasoning not fully transparent),YES (limited to 2 chapters: organic + inorganic chemicals),Dataset covers only 2 of 99 customs chapters; LLM evaluation on only 1...
moorthy2026nii,T3,2026,Comparative benchmark of YOLO/R-CNN variants on real customs X-ray dat...,YES (no interpretability analysis of detection decisions),"NO (large dataset of 4065 images, 66 object classes)",Single-facility evaluation at NCTC India; model generalizability to ot...
qi2025kbgat,T1,2025,Novel knowledge graph-based verification of HS code accuracy integrati...,PARTIAL (knowledge graph provides some interpretability but no SHAP/LIME),NO (real customs data),China-specific customs data; knowledge graph constructed from single-c...
sun2025ftsgi,T1,2025,Novel text sequence + graph information fusion architecture specifical...,PARTIAL (attention weights provide some interpretability),NO (real customs data),China-specific customs data; model designed for Chinese semi-structure...
anggoro2025harmonized,T1,2025,Novel contrastive learning paradigm for generating trade-specific sent...,YES (no interpretability analysis of embeddings),NO (real trade data from two countries),Limited to 2-digit HS code level in some experiments; embedding qualit...
krzan2025xray,T3,2025,End-to-end AI prototype for customs declaration automation with quanti...,YES (no interpretability analysis of ML extraction),YES (single company data),Single-company case study; EU regulations only; limited to commercial ...
koch2025automating,T1,2025,First large-scale LLM comparison for 6-digit HS classification across ...,YES (no interpretability analysis),NO (1.4M real records is substantial),Ambiguous short-text descriptions still cause misclassifications; sing...
hu2025llmcdsim,T3,2025,First simulation-based framework (LLM-CDSim) for quantifying LLM impac...,NO (simulation model is inherently transparent),"YES (simulated scenarios, not real customs data)",Simulated workload only; small batch sizes; error rates are manually c...
yin2025customs,T2,2025,Interpretable rule generation framework combining semantic understandi...,NO (interpretable rules with expert evaluation),"YES (simulated dataset, not real customs data)",Uses simulated SynCustoms dataset; China-specific knowledge graph cons...
sasana2025towards,T1,2025,"First head-to-head comparison of traditional ML, deep learning, and NL...",YES (no interpretability analysis for best model fastText),NO (1.1M real records is substantial),Best model (fastText) only achieves 63.11% at 8-digit level; severe cl...
