cluster_id,label,paper_count
0,Customs + Fraud Detection + Customs Risk Management,115
3,Cross-Border E-Commerce + E-Commerce And Technology Innovations + Deep Learning,97
5,Maritime Logistics + Port Operations + Automatic Identification System,83
8,Neural Network + Risk Assessment + Bp Neural Network,55
9,Ai + Artificial Intelligence + Wto,47
1,Digitalization + Digital Trade + Carbon Emission,105
2,Blockchain + Distributed Ledger + Smart Contract,101
6,Lstm + Time Series Analysis + Exchange Rate,62
4,Text Classification + Natural Language Processing + Hs Code,92
7,Marketing + Supply Chain Risk Management + Order,56
12,Network + Products + Consensus Mechanism,7
10,Information Security + Foreign Trade + Ai-Empowered Compliance,24
11,Agro-Export + China Railway Express + Logistics Performance Evaluation,16
13,Supplier Selection + Internet Or Economic Information + Fuzzy Clustering,7
16,Cross-Border E-Commerce Supply Chain + Knowledge Mapping + Literature Review,1
15,Bibliometric Analysis + Supply Chain Management + Cross-Border E-Commerce,1
14,Free Trade Port + Platform Architecture Design + Asia,3
