paper1_id,paper2_id,shared_refs_count,paper1_title,paper2_title
addo2022information,addo2016explaining,33,Information technology and public administration modernization in a developing country: Pursuing pap,Explaining 'irrationalities' of it-enabled change in a developing country bureaucracy: The case of G
soma2025enhancing,kumar2021securing,24,Enhancing Supply Chain Transparency and Integrity: A Permissioned Blockchain Framework,Securing logistics system and supply chain using Blockchain
xin2022investment,wang2021blockchain,16,Investment strategy for blockchain technology in a shipping supply chain,Blockchain technology for port logistics capability: Exclusive or sharing
liu2023blockchain,irannezhad2020the,14,"Blockchain technology in maritime supply chains: applications, architecture and challenges",The Architectural Design Requirements of a Blockchain-Based Port Community System
liu2023blockchain,liu2020a,14,"Blockchain technology in maritime supply chains: applications, architecture and challenges",A blockchain-based framework of cross-border e-commerce supply chain
cui2025exploring,chen2022a,13,Exploring the knowledge mapping and research trends of cross-border e-commerce,A study of cross-border E-commerce research trends: Based on knowledge mapping and literature analys
niu2026the,niu2025information,12,The potential of AI-enabled quality control facing high inspection standard in resilient cross-borde,Information value versus flexibility cost: Comparison of dual sourcing and artificial intelligence s
singh2023graphfc,kim2020date,12,GraphFC: Customs Fraud Detection with Label Scarcity,DATE: Dual Attentive Tree-aware Embedding for Customs Fraud Detection
juma2020customsbasedb,juma2019a,11,Customs-based blockchain solution for exportation protection,A Survey on Using Blockchain in Trade Supply Chain Solutions
liu2023blockchain,valle2021blockchainbased,10,"Blockchain technology in maritime supply chains: applications, architecture and challenges",Blockchain‐based information management for supply chain data‐platforms
hofman2021using,rukanova2021identifying,10,Using Business Data in Customs Risk Management: Data Quality and Data Value Perspective,Identifying the value of data analytics in the context of government supervision: Insights from the 
irannezhad2020the,liu2020a,10,The Architectural Design Requirements of a Blockchain-Based Port Community System,A blockchain-based framework of cross-border e-commerce supply chain
niu2026the,niu2021should,9,The potential of AI-enabled quality control facing high inspection standard in resilient cross-borde,Should multinational firms implement blockchain to provide quality verification?
cui2025exploring,yang2023the,9,Exploring the knowledge mapping and research trends of cross-border e-commerce,"The Digital Platform, Enterprise Digital Transformation, and Enterprise Performance of Cross-Border "
