topic,count,percentage,field,subfield
E-commerce and Technology Innovations,172,19.72,"Business, Management and Accounting",Business and International Management
Blockchain Technology Applications and Security,117,13.42,Computer Science,Information Systems
Maritime Ports and Logistics,28,3.21,Engineering,Industrial and Manufacturing Engineering
Imbalanced Data Classification Techniques,22,2.52,Computer Science,Artificial Intelligence
Supply Chain Resilience and Risk Management,21,2.41,"Business, Management and Accounting",Strategy and Management
Global trade and economics,21,2.41,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance"
"Law, logistics, and international trade",17,1.95,"Business, Management and Accounting",Accounting
Economic and Technological Innovation,12,1.38,"Economics, Econometrics and Finance",Economics and Econometrics
Global Trade and Competitiveness,12,1.38,"Business, Management and Accounting",Strategy and Management
Stock Market Forecasting Methods,12,1.38,Decision Sciences,Management Science and Operations Research
Big Data and Business Intelligence,11,1.26,"Business, Management and Accounting",Management Information Systems
Maritime Navigation and Safety,10,1.15,Engineering,Ocean Engineering
Anomaly Detection Techniques and Applications,9,1.03,Computer Science,Artificial Intelligence
Forecasting Techniques and Applications,8,0.92,Decision Sciences,Management Science and Operations Research
Sentiment Analysis and Opinion Mining,7,0.8,Computer Science,Artificial Intelligence
Economic and Technological Systems Analysis,7,0.8,"Business, Management and Accounting",Management of Technology and Innovation
Business Process Modeling and Analysis,7,0.8,"Business, Management and Accounting",Management Information Systems
Legal and Policy Issues,7,0.8,Social Sciences,Law
"Energy, Environment, Economic Growth",6,0.69,"Economics, Econometrics and Finance",Economics and Econometrics
Digital Transformation in Industry,6,0.69,Engineering,Industrial and Manufacturing Engineering
World Trade Organization Law,6,0.69,Social Sciences,Political Science and International Relations
Sustainable Supply Chain Management,6,0.69,"Business, Management and Accounting",Strategy and Management
Rough Sets and Fuzzy Logic,6,0.69,Computer Science,Computational Theory and Mathematics
Food Supply Chain Traceability,6,0.69,Agricultural and Biological Sciences,Food Science
Vehicle License Plate Recognition,6,0.69,Engineering,Media Technology
Transport and Logistics Innovations,5,0.57,Engineering,Industrial and Manufacturing Engineering
Natural Language Processing Techniques,5,0.57,Computer Science,Artificial Intelligence
Outsourcing and Supply Chain Management,5,0.57,"Business, Management and Accounting",Management Information Systems
Supply Chain and Inventory Management,5,0.57,"Business, Management and Accounting",Management Information Systems
